path,blob_sha,mode,type,subsystem,review_method,disposition,finding_ids,notes
.github/pull_request_template.md,9c26a33f4deab878fc89f99f8fe7891265a2ca59,100644,text/plain,.github,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.github/workflows/codeql.yml,3e4423aa51caba0bd385403e4745dd3e5d99da22,100644,text/plain,.github,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.github/workflows/publish-images.yml,72bd79a20bbf904b893d7aceccb59428d6b0cb9e,100644,text/plain,.github,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.github/workflows/release.yml,2121afb0fc6172c990ed2a65f444160e368b8ed9,100644,text/plain,.github,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.github/workflows/repo-hygiene.yml,114c83528b018c2bc75edbd5fafb3e75481f3af2,100644,text/plain,.github,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.github/workflows/tests.yml,e09c34ba712482d15b90901d396cf21b290a04fa,100644,text/plain,.github,deep_text_review,REVIEWED_SUPPORT,AUD-005;AUD-009,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.gitignore,c73e000a42b80e34e15601cace57b21e949a00d4,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.nvmrc,d5b283a3acacfde49584bc56b3ebe33d0301a9d8,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.pre-commit-config.yaml,51c34699a753d0a3ac2eb6b3b0e273bb4c90f371,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.release-please-config.json,200a081bf26e3d37e241c9ea4e32838d2b94487a,100644,application/json,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.release-please-manifest.json,0c6b0698c17bec73c1bfd8239790b6f6177db0b7,100644,application/json,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.secrets.baseline,3064b04d7c89eb496fcc89c98243e1d89f9d90b8,100644,application/json,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
CHANGELOG.md,73f7a1334c98ec617436b08a6bd66d96f5b729f6,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
CLAUDE.md,9572adbefc7760c8a953c6692e3b672e154a0933,120000,inode/symlink,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
CODE_OF_CONDUCT.md,dc48c24246b2f3566a85ab80bd9a53a5e35a6319,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
CONTRIBUTING.md,6ce37e9014ae3afb5c1e787f721d3668158c4a5c,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
LICENSE,db21daf4f5230c7d7c363866c04a7a231b489371,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
Makefile,03c3fead1267b3aad477bcdb506d4385f51ec5b3,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
README.md,6f0adddb28b1baf400d469a5b904cd9ad528bc90,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,AUD-012,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
SECURITY.md,d080d76e17b0169c303b18570f1ac60356601cd3,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
bot/CLAUDE.md,28a161ed1bdd0ffebc6bf856b3af252bc2c5b09f,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/__init__.py,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,100644,inode/x-empty,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/automation/CLAUDE.md,0f4453564d1dcc4283138564f63c11e824934d30,100644,text/x-script.python,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/automation/__init__.py,5dd04f4e2a90bf2b2f15012ec2c64140ffea07c2,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/automation/file_tracker.py,f67ff2f029df5c45d685dacc61b0a34297808219,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/automation/ssh_handler.py,d7bf72d970593e59cd2e2b41e36643ad8d8f4172,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/CLAUDE.md,2fda5064d67ab7b22aa6cf014d058bd9e5c196b7,100644,text/x-script.python,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/__init__.py,d2dfe7ef191998c17d2576bb1af9024317ed03e8,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/achievements_cog.py,b2b7587301ce6501a0a455d3a063019818a8bcff,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/admin_cog.py,9fd360274927ae442d75f0093e7fb79690ee0f24,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/admin_predictions_cog.py,f6210ea889dae82b5d0429f47d16c6a23566a96d,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,AUD-006,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/analytics_cog.py,f089e31c81ada3fb39858efc77e7a06707717700,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/automation_commands.py,96d00c9d3d15a41f3920fa850e0ce1ea5a3f09c3,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/availability_mixins/__init__.py,9b22568d700475668381fa40fb7ae585922a8925,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/availability_mixins/daily_poll_mixin.py,c03dedde3363f5366431a2a888d677f4d20a9c19,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/availability_mixins/external_channels_mixin.py,a6eecc26182769024a6f3fa3c3ed725c5a5cd2d7,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/availability_mixins/scheduler_mixin.py,25a06a7c61e8f5ef3575e1aedc379e37f68d49f9,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/availability_mixins/telegram_gateway_mixin.py,a37a7e2e4bca572da76ea2ef71826d1984480e56,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/availability_poll_cog.py,e4a8338f31bcb49d24a08188a6dc33a85820210c,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/last_session_cog.py,9c6dfc24629a7c65edd9c503ea240c5e8d9ef8a0,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/leaderboard_cog.py,6c9899dea4f24f75896252068093db281c5b10f9,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/link_cog.py,968ce60f40e249c2fd309ad482163b5cb601c459,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/link_mixins/__init__.py,ea2abaeeda7f11ec77393b1ce9c3253ebdbd0bf1,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/link_mixins/browse_mixin.py,bc931ecbd39650caa2cc2af431e320ebec57916d,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/link_mixins/core_mixin.py,8c422a581b40e7250a9d382296a5c9f973795ab3,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/link_mixins/interactive_mixin.py,c871384a34bf342f9b24a604d12fe84458ebb4bb,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/matchup_cog.py,aa4818015acb0a8eae79a61efc9f0b77aea8d47e,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/on_this_day_cog.py,ee9e11dcaf4e69f69f89e0ada08f561159088f38,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/permission_management_cog.py,286645eb9710c676a38f1004ed6ba2e4737b726c,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/predictions_cog.py,15341f690ffbae90b0b1d558471888c49d19f3d9,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,AUD-006,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/proximity_cog.py,c08c3ebb22d18813641654599fe58a29258340c4,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/proximity_mixins/__init__.py,122b9bd6fecdee7d8f1ffe0ecb71674ad4f1f588,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/proximity_mixins/admin_commands_mixin.py,ed1382830d6b08f55070df329dd3cb68c1df0eee,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/proximity_mixins/ingestion_mixin.py,5fbc772a89ec1f9f36842037166725a08ccdcc97,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/proximity_mixins/relinker_mixin.py,f88a2f599ddf6c2708128c9d6ac3373ccec80f42,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/proximity_mixins/stats_commands_mixin.py,6361473aab16fd48b4539efd0205a2f13e226aa4,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/server_control.py,3663e5bd5fe5111fbcc4243dc626a7e17a9fefef,100644,text/x-script.python,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/session_cog.py,081d1a25e1dc0f42bac0539d640aa2db57201da2,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/session_management_cog.py,185343c3ab564a75a4b728ae6c91641732e39297,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/stats_cog.py,4df1bd3297637c3683d2689675214b10b5bd68e2,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/stats_mixins/__init__.py,6d857b435a7b20dfa1705ccb7aa0885c9284162c,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/stats_mixins/compare_mixin.py,700476180f59f3f6917a48d0c895621b6a1017e2,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/stats_mixins/help_embeds_mixin.py,dca38d20c402e33af78df0c5d8932e48fbbdd158,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/sync_cog.py,302c22f6faaece0b2f8c3a54ffdf5f3d1e809815,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/team_cog.py,ce6bd8938f61efced924d1a22b478640b3d7e0b6,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/cogs/team_management_cog.py,88af5b1bf908ac2fdf9bc598a586d20671e9dddb,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/community_stats_parser.py,00189df38125630722444dd4d0e71d238b67db0a,100644,text/x-script.python,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/config.py,1ecad031054a2550ef9125a2ca949b3a366bdfe6,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/CLAUDE.md,af2a33792d0395ecea6b7037e25aa97a2af48814,100644,text/x-script.python,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/__init__.py,62b25d8fa7eeee19b131da8a7288f39d6f89f399,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/achievement_system.py,fa6e04a21b51e8abe71d0ca936e234a698b33f4c,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/checks.py,be9f284497557b8de4871bfa8e505cacf7f015cb,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/correlation_context.py,37e9379bc2fddd0e27fda76b256d741e9da57a61,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/database_adapter.py,60091571bb6e7052c4d3db1f26196c2b3abe8886,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/endstats_pagination_view.py,013070e09297909ffb163a69c950458eb7edb93d,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/frag_potential.py,9c3475795550e7ec5ff843b0446471c3dadbc696,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/guid_utils.py,0e194cde9ec7e92bb44761556a72532e4807fa67,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/lazy_pagination_view.py,c549a05f3c45220236039e7eb69f4f641ec9dedf,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/match_tracker.py,14f72993e27e357a7b4b024a64a5487b60b3b820,100644,text/x-script.python,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/pagination_view.py,6a7c95b082f5ee1fa5f9870550691c7c9e6d0275,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/round_canonical.py,46bda8276e59481520f96a6c54af37b0df888c67,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/round_contract.py,d645e9919eb20650a120028da332ca11b9d4f9a8,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/round_linker.py,5d4a16742c4d8f7980edc7327c906264afbc41fa,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/season_manager.py,211a6e98ab814923b8ce3389e30a581deec2aaed,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/stats_cache.py,4fe7ef0cd3fd913549680ed424c469c107faa5dc,100644,text/x-script.python,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/stopwatch_pairing.py,fdb5a67ea77c67b78a30b89dd44c0c1ef3a0aa12,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/substitution_detector.py,63a531a64c31377d4a1a25220cec910699ccd276,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/team_manager.py,571f7961feedbd3c96f2ba95998fb2ed8e486fdb,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/core/utils.py,6b936a045e93b294776ce7b9af69140dae340889,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/endstats_parser.py,7a8d9d62b7fea28f747efb700c4fe1004b9fb738,100644,text/x-script.python,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/logging_config.py,e0bbd751349725bbf3ccc2d9e19767bd780b3e00,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/repositories/__init__.py,903df297d56cdfc8612935042a3f5bc32e32ab9b,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/repositories/file_repository.py,8ce7350d9dc05c3ea034dd84c2eeef40dbff91ce,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/schema.sql,61dbbd7791d5b68f8340c25102c9bf97b7977828,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/CLAUDE.md,6ba0cf9c437ebaa518221288270a361f45b8e21f,100644,text/x-script.python,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/__init__.py,81abec2b20935b3a35b167b07e784c8dcaa4c036,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/admin_alert_mixin.py,8027ec8a11a9565360ab2033ef501624864d26ca,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/automation/INTEGRATION_GUIDE.md,4eb823ec6ca318845bd4fe6ca3d2659cfbd55d3a,100644,text/x-script.python,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/automation/__init__.py,06e0be25de9fe12a73914ef4359d644329f9f653,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/automation/database_maintenance.py,e5095385e55fb652f16185e0f2a8dc88ba523197,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/automation/health_monitor.py,fed90aa064cf882684772955a92346f66aacb6b6,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/automation/metrics_logger.py,b0ea3d56f38d32abcb628fe856b103c52ef02909,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/automation/ssh_monitor.py,f7dc9fe84e9b474c1b31daaed734045e97d78832,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/automation/ws_client.py,99bbaeaa2f259224cb42826a56d77883cb2d4048,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/availability_notifier_service.py,e5cd68d790cbd40b326a44975edb3e442ab2f6df,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/endstats_aggregator.py,9c561c24241f9b26dccdd88a2de4a1acdca3e59a,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/endstats_pipeline_mixin.py,173a9f6f835f5c0a03c9aed3e52bf97c036e5a1d,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/lua_round_storage_mixin.py,ac95caca6fd696a07d0e6b48e7c53b14c1dfe6e9,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/matchup_analytics_service.py,9a32d9b13c7a3383b8624b5468e2756c0b43b97f,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/monitor_tasks_mixin.py,95d763ac8a0baa6e50a5554eec24a113db567d07,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/monitoring_service.py,84e64819755f47ef3fccc86205c8ad67a04e15e5,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/on_this_day_service.py,29e38859bc3bd0788666ae7adca431fe9fd076ce,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/player_analytics_service.py,4554cf303b2bfc66cb5d6d1ba0aca586c5c6f77b,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/player_badge_service.py,ef835577fb1d38b9de41756c3fc5d67ff5ac67e4,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/player_display_name_service.py,06b2bb3039100213ff588b85fc03d89f7e67b7c7,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/player_formatter.py,7fc9ef760d7c2ef695019ca89c997c86792752e3,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/player_resolver_service.py,1916158ed38ac205cfebdd1f0c65b05186cb9dae,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
bot/services/prediction_embed_builder.py,71ca36406ec9a915524bf664de10a5713b474bfc,100644,text/plain,bot,deep_text_review,REVIEWED_ACTIVE,,"Reviewed by source inspection plus applicable static, test, schema, or runtime evidence."
